Date;Open;High;Low;Close
2022-02-03;2249.4;2250.75;2225.26;2235.15
2022-02-04;2239.14;2242.69;2174.57;2174.57
2022-02-07;2181.87;2201.4;2149.25;2171.62
2022-02-08;2176;2215.12;2171.41;2215.12
2022-02-09;2220.47;2236.48;2216.91;2235.93
2022-02-10;2235.91;2244.73;2201.11;2213.21
2022-02-11;2203.02;2203.52;2172.72;2203.13
2022-02-14;2154.92;2172.61;2119.71;2161.79
2022-02-15;2170.43;2222.01;2170.43;2209.7
2022-02-16;2224.29;2246.54;2201.69;2212.73
2022-02-17;2215.9;2218.3;2168.46;2175.61
2022-02-18;2172.08;2188.88;2143.28;2143.28
2022-02-21;2149.19;2162.8;2059.49;2069.53
2022-02-22;2038.58;2106.97;2010.54;2101.31
2022-02-23;2110.35;2129.52;2038.99;2038.99
2022-02-24;1929.14;1929.14;1781.02;1817.45
2022-02-25;1850.34;1993.78;1850.34;1970.78
2022-02-28;1937.89;2010.06;1890.33;1999.88
2022-03-01;2006.15;2050.89;1964.71;1967.01
2022-03-02;1966.4;2043.96;1954.93;2043.96
2022-03-03;2053.82;2068.52;2005.47;2009.56
2022-03-04;2000.16;2000.16;1894.88;1918.75
2022-03-07;1898.74;1956.36;1860.1;1934.94
2022-03-08;1922.98;1971.77;1899.22;1908.1
2022-03-09;1937.96;1981.13;1933.67;1973.25
2022-03-10;1983.05;1992.24;1950.24;1970.27
2022-03-11;1983.15;2045.15;1983.15;2033.49
2022-03-14;2038.11;2038.11;1972.14;1972.14
2022-03-15;1968.78;2018.37;1950.63;1999.93
2022-03-16;2018.99;2067.13;2018.99;2060.07
2022-03-17;2070.66;2125.29;2070.66;2125.29
2022-03-18;2122.59;2137.12;2088.08;2099.26
2022-03-21;2098.58;2125.13;2082.38;2093.04
2022-03-22;2096.64;2125.06;2096.5;2121.52
2022-03-23;2129.62;2148.04;2103.09;2120.86
2022-03-24;2130.03;2154.29;2112.6;2138.8
2022-03-25;2142.22;2147.17;2098.97;2115.58
2022-03-28;2112.73;2143.35;2112.73;2123.12
2022-03-29;2134.55;2182.97;2107.74;2171.56
2022-03-30;2178.29;2187.85;2158.86;2179.56
2022-03-31;2177.34;2182.92;2133.05;2133.05
2022-04-01;2143.61;2168.05;2142.22;2164.81
2022-04-04;2171.43;2181.17;2144.42;2157.79
2022-04-05;2164.28;2170.09;2120.76;2123.49
2022-04-06;2124.38;2127.28;2083.93;2107.82
2022-04-07;2110.89;2116.47;2076.63;2076.63
2022-04-08;2089.75;2105.49;2073.85;2085.07
2022-04-11;2081.23;2121.65;2066.56;2121.65
2022-04-12;2115.34;2115.34;2091.76;2094.01
2022-04-13;2103.07;2112.82;2087.13;2104.32
